thread_total,run_index,total_time_seconds
1,1,.000979707
1,2,.000843831
1,3,.000863915
1,4,.000966165
1,5,.000925832
2,1,.000898748
2,2,.000804749
2,3,.000752998
2,4,.000684832
2,5,.000807999
4,1,.000993623
4,2,.000817915
4,3,.000939373
4,4,.000934082
4,5,.001055915
8,1,.000835498
8,2,.000878748
8,3,.000986123
8,4,.000978665
8,5,.000902915
16,1,.001022915
16,2,.000801040
16,3,.000859165
16,4,.000867332
16,5,.000910582
32,1,.000852040
32,2,.000969206
32,3,.000928873
32,4,.001029123
32,5,.000726248
